"","datetimeAK","temp.water.MDS","DO.obs.MDS","temp.water.MUS","DO.obs.MUS"
"48",2022-05-28 04:30:00,2.619,12.572,2.513,12.768
"49",2022-05-28 04:45:00,2.493,12.621,2.418,12.802
"50",2022-05-28 05:00:00,2.377,12.672,2.313,12.838
"51",2022-05-28 05:15:00,2.293,12.676,2.239,12.866
"52",2022-05-28 05:30:00,2.209,12.725,2.165,12.881
"53",2022-05-28 05:45:00,2.135,12.748,2.08,12.918
"54",2022-05-28 06:00:00,2.05,12.779,1.974,12.951
"55",2022-05-28 06:15:00,1.976,12.804,1.942,12.961
"56",2022-05-28 06:30:00,1.891,12.824,1.867,13.009
"57",2022-05-28 06:45:00,1.848,12.831,1.814,13.011
"58",2022-05-28 07:00:00,1.774,12.862,1.728,13.06
"59",2022-05-28 07:15:00,1.71,12.899,1.686,13.08
"60",2022-05-28 07:30:00,1.667,12.913,1.654,13.074
"61",2022-05-28 07:45:00,1.614,12.931,1.611,13.1
"62",2022-05-28 08:00:00,1.581,12.954,1.557,13.124
"63",2022-05-28 08:15:00,1.56,12.97,1.536,13.143
"64",2022-05-28 08:30:00,1.539,12.972,1.514,13.136
"65",2022-05-28 08:45:00,1.517,12.974,1.493,13.158
"66",2022-05-28 09:00:00,1.506,12.997,1.471,13.168
"67",2022-05-28 09:15:00,1.496,13.011,1.514,13.144
"68",2022-05-28 09:30:00,1.517,12.988,1.482,13.175
"69",2022-05-28 09:45:00,1.506,13.01,1.536,13.151
"70",2022-05-28 10:00:00,1.517,13.024,1.589,13.141
"71",2022-05-28 10:15:00,1.592,12.991,1.589,13.155
"72",2022-05-28 10:30:00,1.614,13.011,1.643,13.138
"73",2022-05-28 10:45:00,1.71,12.957,1.75,13.099
"74",2022-05-28 11:00:00,1.784,12.941,1.803,13.091
"75",2022-05-28 11:15:00,1.869,12.907,1.91,13.067
"76",2022-05-28 11:30:00,1.965,12.893,2.037,13.021
"77",2022-05-28 11:45:00,2.092,12.844,2.143,13
"78",2022-05-28 12:00:00,2.209,12.805,2.26,12.959
"79",2022-05-28 12:15:00,2.346,12.774,2.429,12.913
"80",2022-05-28 12:30:00,2.493,12.717,2.576,12.869
"81",2022-05-28 12:45:00,2.619,12.704,2.754,12.81
"82",2022-05-28 13:00:00,2.786,12.655,2.931,12.766
"83",2022-05-28 13:15:00,2.974,12.583,3.098,12.709
"84",2022-05-28 13:30:00,3.14,12.525,3.264,12.66
"85",2022-05-28 13:45:00,3.305,12.478,3.439,12.601
"86",2022-05-28 14:00:00,3.491,12.403,3.625,12.535
"87",2022-05-28 14:15:00,3.686,12.349,3.799,12.469
"88",2022-05-28 14:30:00,3.819,12.296,3.973,12.411
"89",2022-05-28 14:45:00,4.023,12.226,4.146,12.342
"90",2022-05-28 15:00:00,4.155,12.161,4.318,12.304
"91",2022-05-28 15:15:00,4.368,12.107,4.531,12.241
"92",2022-05-28 15:30:00,4.579,12.035,4.712,12.161
"93",2022-05-28 15:45:00,4.74,11.973,4.872,12.098
"94",2022-05-28 16:00:00,4.91,11.931,5.062,12.04
"95",2022-05-28 16:15:00,5.07,11.87,5.212,12.001
"96",2022-05-28 16:30:00,5.19,11.792,5.381,11.94
"97",2022-05-28 16:45:00,5.428,11.751,5.51,11.886
"98",2022-05-28 17:00:00,5.527,11.715,5.618,11.846
"99",2022-05-28 17:15:00,5.625,11.666,5.717,11.804
"100",2022-05-28 17:30:00,5.744,11.623,5.865,11.761
"101",2022-05-28 17:45:00,5.871,11.56,5.973,11.707
"102",2022-05-28 18:00:00,5.96,11.526,6.09,11.652
"103",2022-05-28 18:15:00,6.067,11.484,6.168,11.627
"104",2022-05-28 18:30:00,6.136,11.473,6.188,11.608
"105",2022-05-28 18:45:00,6.194,11.432,6.227,11.6
"106",2022-05-28 19:00:00,6.253,11.413,6.305,11.57
"107",2022-05-28 19:15:00,6.302,11.396,6.354,11.554
"108",2022-05-28 19:30:00,6.341,11.378,6.364,11.534
"109",2022-05-28 19:45:00,6.341,11.396,6.373,11.535
"110",2022-05-28 20:00:00,6.331,11.369,6.383,11.523
"111",2022-05-28 20:15:00,6.36,11.353,6.334,11.533
"112",2022-05-28 20:30:00,6.321,11.376,6.334,11.524
"113",2022-05-28 20:45:00,6.282,11.374,6.295,11.536
"114",2022-05-28 21:00:00,6.234,11.384,6.208,11.567
"115",2022-05-28 21:15:00,6.204,11.382,6.139,11.579
"116",2022-05-28 21:30:00,6.097,11.43,6.08,11.595
"117",2022-05-28 21:45:00,6.048,11.458,6.041,11.602
"118",2022-05-28 22:00:00,6.028,11.435,6.012,11.612
"119",2022-05-28 22:15:00,5.989,11.451,5.933,11.637
"120",2022-05-28 22:30:00,5.901,11.471,5.884,11.651
"121",2022-05-28 22:45:00,5.842,11.483,5.786,11.676
"122",2022-05-28 23:00:00,5.744,11.524,5.697,11.706
"123",2022-05-28 23:15:00,5.655,11.553,5.599,11.732
"124",2022-05-28 23:30:00,5.547,11.579,5.49,11.763
"125",2022-05-28 23:45:00,5.458,11.619,5.44,11.779
"126",2022-05-29 00:00:00,5.418,11.619,5.371,11.803
"127",2022-05-29 00:15:00,5.329,11.652,5.291,11.822
"128",2022-05-29 00:30:00,5.269,11.666,5.222,11.832
"129",2022-05-29 00:45:00,5.17,11.719,5.142,11.865
"130",2022-05-29 01:00:00,5.11,11.699,5.052,11.902
"131",2022-05-29 01:15:00,5,11.754,4.922,11.945
"132",2022-05-29 01:30:00,4.89,11.783,4.832,11.961
"133",2022-05-29 01:45:00,4.81,11.813,4.732,11.991
"134",2022-05-29 02:00:00,4.68,11.854,4.621,12.028
"135",2022-05-29 02:15:00,4.569,11.885,4.49,12.079
"136",2022-05-29 02:30:00,4.469,11.929,4.409,12.097
"137",2022-05-29 02:45:00,4.368,11.953,4.288,12.135
"138",2022-05-29 03:00:00,4.276,11.972,4.186,12.166
"139",2022-05-29 03:15:00,4.165,12.026,4.095,12.209
"140",2022-05-29 03:30:00,4.074,12.053,4.003,12.239
"141",2022-05-29 03:45:00,3.982,12.094,3.922,12.26
"142",2022-05-29 04:00:00,3.88,12.124,3.819,12.31
"143",2022-05-29 04:15:00,3.798,12.149,3.727,12.343
"144",2022-05-29 04:30:00,3.706,12.184,3.614,12.392
"145",2022-05-29 04:45:00,3.614,12.22,3.532,12.405
"146",2022-05-29 05:00:00,3.501,12.257,3.46,12.423
"147",2022-05-29 05:15:00,3.419,12.304,3.367,12.462
"148",2022-05-29 05:30:00,3.346,12.309,3.295,12.496
"149",2022-05-29 05:45:00,3.264,12.35,3.222,12.522
"150",2022-05-29 06:00:00,3.181,12.389,3.15,12.553
"151",2022-05-29 06:15:00,3.109,12.412,3.067,12.571
"152",2022-05-29 06:30:00,3.067,12.429,3.036,12.612
"153",2022-05-29 06:45:00,2.984,12.475,2.952,12.634
"154",2022-05-29 07:00:00,2.974,12.463,2.911,12.648
"155",2022-05-29 07:15:00,2.89,12.497,2.858,12.674
"156",2022-05-29 07:30:00,2.838,12.525,2.817,12.681
"157",2022-05-29 07:45:00,2.807,12.551,2.764,12.707
"158",2022-05-29 08:00:00,2.755,12.572,2.723,12.725
"159",2022-05-29 08:15:00,2.744,12.575,2.702,12.741
"160",2022-05-29 08:30:00,2.713,12.575,2.681,12.754
"161",2022-05-29 08:45:00,2.682,12.591,2.67,12.752
"162",2022-05-29 09:00:00,2.65,12.61,2.649,12.767
"163",2022-05-29 09:15:00,2.65,12.62,2.639,12.782
"164",2022-05-29 09:30:00,2.661,12.619,2.67,12.766
"165",2022-05-29 09:45:00,2.682,12.61,2.691,12.773
"166",2022-05-29 10:00:00,2.671,12.622,2.702,12.773
"167",2022-05-29 10:15:00,2.692,12.625,2.733,12.768
"168",2022-05-29 10:30:00,2.723,12.621,2.764,12.758
"169",2022-05-29 10:45:00,2.776,12.608,2.848,12.742
"170",2022-05-29 11:00:00,2.859,12.588,2.911,12.729
"171",2022-05-29 11:15:00,2.953,12.565,2.994,12.716
"172",2022-05-29 11:30:00,3.046,12.533,3.108,12.679
"173",2022-05-29 11:45:00,3.14,12.526,3.212,12.659
"174",2022-05-29 12:00:00,3.264,12.485,3.357,12.597
"175",2022-05-29 12:15:00,3.398,12.444,3.501,12.561
"176",2022-05-29 12:30:00,3.521,12.423,3.655,12.527
"177",2022-05-29 12:45:00,3.675,12.36,3.799,12.494
"178",2022-05-29 13:00:00,3.839,12.326,3.983,12.423
"179",2022-05-29 13:15:00,3.982,12.29,4.125,12.392
"180",2022-05-29 13:30:00,4.135,12.213,4.268,12.341
"181",2022-05-29 13:45:00,4.297,12.175,4.44,12.285
"182",2022-05-29 14:00:00,4.469,12.115,4.601,12.245
"183",2022-05-29 14:15:00,4.63,12.058,4.762,12.188
"184",2022-05-29 14:30:00,4.79,12.02,4.922,12.132
"185",2022-05-29 14:45:00,4.93,11.976,5.082,12.086
"186",2022-05-29 15:00:00,5.11,11.898,5.272,12.021
"187",2022-05-29 15:15:00,5.299,11.854,5.46,11.969
"188",2022-05-29 15:30:00,5.507,11.779,5.658,11.897
"189",2022-05-29 15:45:00,5.645,11.733,5.806,11.862
"190",2022-05-29 16:00:00,5.803,11.674,5.943,11.791
"191",2022-05-29 16:15:00,5.93,11.631,6.041,11.752
"192",2022-05-29 16:30:00,6.028,11.573,6.139,11.709
"193",2022-05-29 16:45:00,6.146,11.534,6.217,11.673
"194",2022-05-29 17:00:00,6.243,11.5,6.315,11.649
"195",2022-05-29 17:15:00,6.341,11.455,6.422,11.605
"196",2022-05-29 17:30:00,6.418,11.442,6.529,11.57
"197",2022-05-29 17:45:00,6.486,11.379,6.635,11.518
"198",2022-05-29 18:00:00,6.506,11.343,6.723,11.498
"199",2022-05-29 18:15:00,6.622,11.324,6.781,11.487
"200",2022-05-29 18:30:00,6.729,11.304,6.867,11.45
"201",2022-05-29 18:45:00,6.825,11.287,6.916,11.433
"202",2022-05-29 19:00:00,6.864,11.27,6.964,11.4
"203",2022-05-29 19:15:00,6.931,11.245,6.973,11.41
"204",2022-05-29 19:30:00,6.95,11.235,6.993,11.386
"205",2022-05-29 19:45:00,6.979,11.23,6.983,11.398
"206",2022-05-29 20:00:00,6.941,11.247,6.973,11.414
"207",2022-05-29 20:15:00,6.95,11.247,6.993,11.391
"208",2022-05-29 20:30:00,6.96,11.245,6.983,11.4
"209",2022-05-29 20:45:00,6.96,11.236,6.973,11.375
"210",2022-05-29 21:00:00,6.931,11.227,6.945,11.397
"211",2022-05-29 21:15:00,6.931,11.215,6.935,11.4
"212",2022-05-29 21:30:00,6.912,11.235,6.916,11.405
"213",2022-05-29 21:45:00,6.893,11.248,6.867,11.419
"214",2022-05-29 22:00:00,6.835,11.259,6.838,11.421
"215",2022-05-29 22:15:00,6.796,11.26,6.781,11.436
"216",2022-05-29 22:30:00,6.709,11.293,6.703,11.457
"217",2022-05-29 22:45:00,6.661,11.295,6.655,11.458
"218",2022-05-29 23:00:00,6.603,11.321,6.568,11.493
"219",2022-05-29 23:15:00,6.516,11.36,6.48,11.518
"220",2022-05-29 23:30:00,6.428,11.38,6.393,11.542
"221",2022-05-29 23:45:00,6.35,11.381,6.305,11.58
"222",2022-05-30 00:00:00,6.282,11.426,6.217,11.6
"223",2022-05-30 00:15:00,6.165,11.464,6.12,11.633
"224",2022-05-30 00:30:00,6.067,11.488,6.022,11.669
"225",2022-05-30 00:45:00,5.96,11.524,5.933,11.688
"226",2022-05-30 01:00:00,5.891,11.552,5.835,11.716
"227",2022-05-30 01:15:00,5.803,11.57,5.737,11.751
"228",2022-05-30 01:30:00,5.704,11.595,5.618,11.789
"229",2022-05-30 01:45:00,5.586,11.626,5.52,11.818
"230",2022-05-30 02:00:00,5.448,11.676,5.42,11.838
"231",2022-05-30 02:15:00,5.368,11.692,5.282,11.876
"232",2022-05-30 02:30:00,5.249,11.741,5.162,11.928
"233",2022-05-30 02:45:00,5.14,11.773,5.032,11.961
"234",2022-05-30 03:00:00,5,11.805,4.882,12.032
"235",2022-05-30 03:15:00,4.9,11.853,4.782,12.064
"236",2022-05-30 03:30:00,4.77,11.891,4.662,12.095
"237",2022-05-30 03:45:00,4.64,11.944,4.561,12.127
"238",2022-05-30 04:00:00,4.519,11.967,4.45,12.152
"239",2022-05-30 04:15:00,4.418,12.016,4.349,12.192
"240",2022-05-30 04:30:00,4.327,12.05,4.217,12.244
"241",2022-05-30 04:45:00,4.206,12.079,4.115,12.282
"242",2022-05-30 05:00:00,4.124,12.12,4.003,12.329
"243",2022-05-30 05:15:00,4.013,12.178,3.942,12.339
"244",2022-05-30 05:30:00,3.911,12.191,3.83,12.383
"245",2022-05-30 05:45:00,3.809,12.232,3.748,12.408
"246",2022-05-30 06:00:00,3.757,12.262,3.655,12.449
"247",2022-05-30 06:15:00,3.655,12.297,3.553,12.483
"248",2022-05-30 06:30:00,3.542,12.327,3.46,12.532
"249",2022-05-30 06:45:00,3.449,12.37,3.377,12.551
"250",2022-05-30 07:00:00,3.377,12.393,3.284,12.598
"251",2022-05-30 07:15:00,3.284,12.445,3.212,12.626
"252",2022-05-30 07:30:00,3.212,12.469,3.129,12.658
"253",2022-05-30 07:45:00,3.171,12.473,3.108,12.667
"254",2022-05-30 08:00:00,3.109,12.516,3.036,12.7
"255",2022-05-30 08:15:00,3.046,12.549,2.983,12.707
"256",2022-05-30 08:30:00,2.963,12.578,2.952,12.744
"257",2022-05-30 08:45:00,2.942,12.573,2.9,12.778
"258",2022-05-30 09:00:00,2.911,12.609,2.9,12.771
"259",2022-05-30 09:15:00,2.87,12.638,2.869,12.783
"260",2022-05-30 09:30:00,2.88,12.629,2.869,12.802
"261",2022-05-30 09:45:00,2.87,12.639,2.879,12.802
"262",2022-05-30 10:00:00,2.88,12.641,2.89,12.807
"263",2022-05-30 10:15:00,2.89,12.653,2.931,12.78
"264",2022-05-30 10:30:00,2.911,12.654,2.942,12.799
"265",2022-05-30 10:45:00,2.953,12.645,3.015,12.781
"266",2022-05-30 11:00:00,3.036,12.62,3.098,12.752
"267",2022-05-30 11:15:00,3.098,12.591,3.181,12.738
"268",2022-05-30 11:30:00,3.222,12.566,3.284,12.707
"269",2022-05-30 11:45:00,3.295,12.562,3.388,12.677
"270",2022-05-30 12:00:00,3.398,12.517,3.501,12.653
"271",2022-05-30 12:15:00,3.501,12.495,3.635,12.604
"272",2022-05-30 12:30:00,3.665,12.448,3.768,12.577
"273",2022-05-30 12:45:00,3.809,12.398,3.911,12.541
"274",2022-05-30 13:00:00,3.951,12.366,4.105,12.49
"275",2022-05-30 13:15:00,4.145,12.315,4.278,12.438
"276",2022-05-30 13:30:00,4.317,12.257,4.43,12.392
"277",2022-05-30 13:45:00,4.469,12.224,4.621,12.337
"278",2022-05-30 14:00:00,4.65,12.156,4.812,12.264
"279",2022-05-30 14:15:00,4.84,12.086,4.952,12.227
"280",2022-05-30 14:30:00,5.02,12.028,5.142,12.167
"281",2022-05-30 14:45:00,5.17,11.972,5.301,12.084
"282",2022-05-30 15:00:00,5.2,11.883,5.291,12.037
"283",2022-05-30 15:15:00,5.349,11.881,5.579,12.006
"284",2022-05-30 15:30:00,5.625,11.818,5.786,11.939
"285",2022-05-30 15:45:00,5.793,11.769,5.943,11.886
"286",2022-05-30 16:00:00,5.871,11.704,6.139,11.825
"287",2022-05-30 16:15:00,6.097,11.669,6.276,11.772
"288",2022-05-30 16:30:00,6.311,11.606,6.422,11.722
"289",2022-05-30 16:45:00,6.418,11.563,6.529,11.684
"290",2022-05-30 17:00:00,6.554,11.491,6.655,11.62
"291",2022-05-30 17:15:00,6.651,11.445,6.752,11.592
"292",2022-05-30 17:30:00,6.748,11.424,6.887,11.55
"293",2022-05-30 17:45:00,6.883,11.368,7.002,11.494
"294",2022-05-30 18:00:00,6.96,11.357,7.089,11.467
"295",2022-05-30 18:15:00,7.066,11.31,7.194,11.427
"296",2022-05-30 18:30:00,7.152,11.264,7.252,11.398
"297",2022-05-30 18:45:00,7.229,11.239,7.328,11.372
"298",2022-05-30 19:00:00,7.334,11.209,7.414,11.343
"299",2022-05-30 19:15:00,7.382,11.22,7.472,11.34
"300",2022-05-30 19:30:00,7.439,11.176,7.519,11.327
"301",2022-05-30 19:45:00,7.458,11.167,7.529,11.327
"302",2022-05-30 20:00:00,7.515,11.148,7.586,11.283
"303",2022-05-30 20:15:00,7.553,11.132,7.558,11.292
"304",2022-05-30 20:30:00,7.544,11.126,7.558,11.304
"305",2022-05-30 20:45:00,7.515,11.11,7.529,11.268
"306",2022-05-30 21:00:00,7.487,11.122,7.462,11.294
"307",2022-05-30 21:15:00,7.449,11.126,7.414,11.299
"308",2022-05-30 21:30:00,7.391,11.126,7.367,11.305
"309",2022-05-30 21:45:00,7.324,11.148,7.29,11.327
"310",2022-05-30 22:00:00,7.248,11.17,7.214,11.345
"311",2022-05-30 22:15:00,7.152,11.183,7.118,11.361
"312",2022-05-30 22:30:00,7.075,11.21,7.031,11.379
"313",2022-05-30 22:45:00,7.008,11.21,6.983,11.388
"314",2022-05-30 23:00:00,6.941,11.237,6.906,11.419
"315",2022-05-30 23:15:00,6.873,11.247,6.848,11.424
"316",2022-05-30 23:30:00,6.806,11.279,6.771,11.441
"317",2022-05-30 23:45:00,6.7,11.313,6.655,11.487
"318",2022-05-31 00:00:00,6.603,11.344,6.548,11.525
"319",2022-05-31 00:15:00,6.506,11.386,6.441,11.559
"320",2022-05-31 00:30:00,6.409,11.402,6.344,11.583
"321",2022-05-31 00:45:00,6.341,11.432,6.247,11.614
"322",2022-05-31 01:00:00,6.243,11.452,6.178,11.632
"323",2022-05-31 01:15:00,6.155,11.475,6.071,11.673
"324",2022-05-31 01:30:00,6.048,11.507,5.982,11.689
"325",2022-05-31 01:45:00,5.95,11.539,5.884,11.732
"326",2022-05-31 02:00:00,5.842,11.59,5.786,11.76
"327",2022-05-31 02:15:00,5.754,11.624,5.678,11.793
"328",2022-05-31 02:30:00,5.665,11.627,5.589,11.823
"329",2022-05-31 02:45:00,5.556,11.67,5.48,11.851
"330",2022-05-31 03:00:00,5.477,11.704,5.381,11.902
"331",2022-05-31 03:15:00,5.368,11.728,5.282,11.93
"332",2022-05-31 03:30:00,5.299,11.755,5.202,11.95
"333",2022-05-31 03:45:00,5.2,11.78,5.112,11.987
"334",2022-05-31 04:00:00,5.09,11.824,5.022,12.01
"335",2022-05-31 04:15:00,5.01,11.842,4.912,12.062
"336",2022-05-31 04:30:00,4.91,11.883,4.832,12.074
"337",2022-05-31 04:45:00,4.8,11.93,4.742,12.101
"338",2022-05-31 05:00:00,4.75,11.934,4.651,12.143
"339",2022-05-31 05:15:00,4.65,11.967,4.541,12.178
"340",2022-05-31 05:30:00,4.569,12.007,4.45,12.204
"341",2022-05-31 05:45:00,4.458,12.032,4.379,12.236
"342",2022-05-31 06:00:00,4.388,12.079,4.308,12.257
"343",2022-05-31 06:15:00,4.337,12.084,4.237,12.282
"344",2022-05-31 06:30:00,4.246,12.113,4.166,12.321
"345",2022-05-31 06:45:00,4.165,12.158,4.085,12.359
"346",2022-05-31 07:00:00,4.124,12.171,4.034,12.378
"347",2022-05-31 07:15:00,4.033,12.23,3.993,12.401
"348",2022-05-31 07:30:00,3.992,12.24,3.942,12.413
"349",2022-05-31 07:45:00,3.931,12.267,3.911,12.423
"350",2022-05-31 08:00:00,3.911,12.262,3.83,12.456
"351",2022-05-31 08:15:00,3.86,12.3,3.799,12.463
"352",2022-05-31 08:30:00,3.809,12.316,3.768,12.486
"353",2022-05-31 08:45:00,3.757,12.346,3.748,12.508
"354",2022-05-31 09:00:00,3.747,12.342,3.727,12.505
"355",2022-05-31 09:15:00,3.727,12.365,3.738,12.501
"356",2022-05-31 09:30:00,3.727,12.353,3.727,12.519
"357",2022-05-31 09:45:00,3.706,12.376,3.717,12.537
"358",2022-05-31 10:00:00,3.727,12.363,3.717,12.533
"359",2022-05-31 10:15:00,3.737,12.382,3.727,12.538
"360",2022-05-31 10:30:00,3.727,12.388,3.768,12.523
"361",2022-05-31 10:45:00,3.747,12.382,3.809,12.512
"362",2022-05-31 11:00:00,3.798,12.377,3.85,12.507
"363",2022-05-31 11:15:00,3.839,12.359,3.901,12.499
"364",2022-05-31 11:30:00,3.9,12.342,3.962,12.479
"365",2022-05-31 11:45:00,3.962,12.334,4.044,12.447
"366",2022-05-31 12:00:00,4.033,12.328,4.146,12.428
"367",2022-05-31 12:15:00,4.145,12.287,4.257,12.404
"368",2022-05-31 12:30:00,4.276,12.239,4.389,12.389
"369",2022-05-31 12:45:00,4.398,12.216,4.531,12.326
"370",2022-05-31 13:00:00,4.519,12.179,4.641,12.304
"371",2022-05-31 13:15:00,4.62,12.156,4.772,12.274
"372",2022-05-31 13:30:00,4.78,12.093,4.932,12.214
"373",2022-05-31 13:45:00,4.92,12.066,5.092,12.184
"374",2022-05-31 14:00:00,5.1,12.008,5.232,12.127
"375",2022-05-31 14:15:00,5.22,11.974,5.381,12.069
"376",2022-05-31 14:30:00,5.358,11.924,5.529,12.023
"377",2022-05-31 14:45:00,5.507,11.857,5.648,11.975
"378",2022-05-31 15:00:00,5.625,11.84,5.825,11.937
"379",2022-05-31 15:15:00,5.803,11.768,5.982,11.881
"380",2022-05-31 15:30:00,5.97,11.728,6.159,11.823
"381",2022-05-31 15:45:00,6.136,11.67,6.315,11.759
"382",2022-05-31 16:00:00,6.273,11.612,6.451,11.723
"383",2022-05-31 16:15:00,6.428,11.57,6.548,11.683
"384",2022-05-31 16:30:00,6.564,11.511,6.664,11.644
"385",2022-05-31 16:45:00,6.671,11.483,6.771,11.612
"386",2022-05-31 17:00:00,6.738,11.453,6.877,11.562
"387",2022-05-31 17:15:00,6.864,11.391,6.964,11.521
"388",2022-05-31 17:30:00,6.97,11.347,7.07,11.48
"389",2022-05-31 17:45:00,7.056,11.323,7.175,11.432
"390",2022-05-31 18:00:00,7.133,11.286,7.271,11.424
"391",2022-05-31 18:15:00,7.248,11.253,7.367,11.371
"392",2022-05-31 18:30:00,7.344,11.21,7.443,11.353
"393",2022-05-31 18:45:00,7.42,11.178,7.519,11.317
"394",2022-05-31 19:00:00,7.496,11.162,7.586,11.292
"395",2022-05-31 19:15:00,7.572,11.117,7.624,11.262
"396",2022-05-31 19:30:00,7.601,11.107,7.643,11.26
"397",2022-05-31 19:45:00,7.61,11.089,7.662,11.238
"398",2022-05-31 20:00:00,7.649,11.077,7.691,11.223
"399",2022-05-31 20:15:00,7.63,11.073,7.691,11.235
"400",2022-05-31 20:30:00,7.639,11.077,7.691,11.231
"401",2022-05-31 20:45:00,7.639,11.066,7.634,11.242
"402",2022-05-31 21:00:00,7.62,11.075,7.615,11.253
"403",2022-05-31 21:15:00,7.582,11.077,7.596,11.241
"404",2022-05-31 21:30:00,7.515,11.103,7.51,11.273
"405",2022-05-31 21:45:00,7.496,11.095,7.51,11.256
"406",2022-05-31 22:00:00,7.458,11.102,7.443,11.291
"407",2022-05-31 22:15:00,7.401,11.134,7.395,11.294
"408",2022-05-31 22:30:00,7.344,11.152,7.309,11.317
"409",2022-05-31 22:45:00,7.257,11.174,7.252,11.322
"410",2022-05-31 23:00:00,7.2,11.21,7.166,11.356
"411",2022-05-31 23:15:00,7.114,11.218,7.089,11.383
"412",2022-05-31 23:30:00,7.037,11.221,6.973,11.412
"413",2022-05-31 23:45:00,6.95,11.251,6.906,11.427
"414",2022-06-01 00:00:00,6.854,11.286,6.81,11.46
"415",2022-06-01 00:15:00,6.748,11.312,6.694,11.496
"416",2022-06-01 00:30:00,6.622,11.359,6.587,11.519
"417",2022-06-01 00:45:00,6.535,11.379,6.48,11.559
"418",2022-06-01 01:00:00,6.448,11.398,6.383,11.588
"419",2022-06-01 01:15:00,6.36,11.438,6.286,11.628
"420",2022-06-01 01:30:00,6.243,11.478,6.208,11.644
"421",2022-06-01 01:45:00,6.185,11.496,6.12,11.661
"422",2022-06-01 02:00:00,6.087,11.513,6.041,11.695
"423",2022-06-01 02:15:00,5.989,11.532,5.933,11.715
"424",2022-06-01 02:30:00,5.881,11.569,5.835,11.756
"425",2022-06-01 02:45:00,5.793,11.598,5.717,11.799
"426",2022-06-01 03:00:00,5.704,11.627,5.618,11.834
"427",2022-06-01 03:15:00,5.606,11.662,5.49,11.878
"428",2022-06-01 03:30:00,5.527,11.698,5.42,11.895
"429",2022-06-01 03:45:00,5.398,11.731,5.341,11.922
"430",2022-06-01 04:00:00,5.329,11.744,5.222,11.946
"431",2022-06-01 04:15:00,5.249,11.771,5.172,11.956
"432",2022-06-01 04:30:00,5.17,11.804,5.072,12.012
"433",2022-06-01 04:45:00,5.09,11.826,5.012,12.024
"434",2022-06-01 05:00:00,5,11.87,4.912,12.054
