"Plot Title: 20005936_POKE_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20005936, SEN S/N: 20005936, LBL: P)","Temp, °C (LGR S/N: 20005936, SEN S/N: 20005936, LBL: T)"
65,06/05/20 05:00:00 AM,98.834,1.330
66,06/05/20 05:15:00 AM,98.836,2.088
67,06/05/20 05:30:00 AM,98.845,2.730
68,06/05/20 05:45:00 AM,98.854,3.998
69,06/05/20 06:00:00 AM,98.847,4.831
70,06/05/20 06:15:00 AM,98.861,5.757
71,06/05/20 06:30:00 AM,98.842,7.079
72,06/05/20 06:45:00 AM,98.851,7.682
73,06/05/20 07:00:00 AM,98.845,8.581
74,06/05/20 07:15:00 AM,98.837,9.275
75,06/05/20 07:30:00 AM,98.836,9.866
76,06/05/20 07:45:00 AM,98.818,10.553
77,06/05/20 08:00:00 AM,98.818,11.236
78,06/05/20 08:15:00 AM,98.801,12.013
79,06/05/20 08:30:00 AM,98.803,12.787
80,06/05/20 08:45:00 AM,98.795,13.558
81,06/05/20 09:00:00 AM,98.780,14.421
82,06/05/20 09:15:00 AM,98.770,15.091
83,06/05/20 09:30:00 AM,98.779,15.664
84,06/05/20 09:45:00 AM,98.751,16.332
85,06/05/20 10:00:00 AM,98.737,16.713
86,06/05/20 10:15:00 AM,98.717,17.284
87,06/05/20 10:30:00 AM,98.704,17.665
88,06/05/20 10:45:00 AM,98.692,18.806
89,06/05/20 11:00:00 AM,98.671,19.948
90,06/05/20 11:15:00 AM,98.659,21.091
91,06/05/20 11:30:00 AM,98.634,21.951
92,06/05/20 11:45:00 AM,98.616,22.046
93,06/05/20 12:00:00 PM,98.596,22.621
94,06/05/20 12:15:00 PM,98.584,22.429
95,06/05/20 12:30:00 PM,98.581,21.569
96,06/05/20 12:45:00 PM,98.575,21.187
97,06/05/20 01:00:00 PM,98.569,22.046
98,06/05/20 01:15:00 PM,98.560,22.717
99,06/05/20 01:30:00 PM,98.564,23.004
100,06/05/20 01:45:00 PM,98.560,22.717
101,06/05/20 02:00:00 PM,98.566,21.855
102,06/05/20 02:15:00 PM,98.567,20.615
103,06/05/20 02:30:00 PM,98.577,20.043
104,06/05/20 02:45:00 PM,98.598,17.570
105,06/05/20 03:00:00 PM,98.622,15.282
106,06/05/20 03:15:00 PM,98.622,12.690
107,06/05/20 03:30:00 PM,98.618,13.076
108,06/05/20 03:45:00 PM,98.589,13.654
109,06/05/20 04:00:00 PM,98.575,15.951
110,06/05/20 04:15:00 PM,98.561,18.901
111,06/05/20 04:30:00 PM,98.547,21.187
112,06/05/20 04:45:00 PM,98.508,22.429
113,06/05/20 05:00:00 PM,98.491,21.951
114,06/05/20 05:15:00 PM,98.463,22.621
115,06/05/20 05:30:00 PM,98.441,24.351
116,06/05/20 05:45:00 PM,98.448,22.238
117,06/05/20 06:00:00 PM,98.448,20.234
118,06/05/20 06:15:00 PM,98.440,19.092
119,06/05/20 06:30:00 PM,98.423,18.521
120,06/05/20 06:45:00 PM,98.434,21.282
121,06/05/20 07:00:00 PM,98.435,25.222
122,06/05/20 07:15:00 PM,98.443,27.075
123,06/05/20 07:30:00 PM,98.434,28.456
124,06/05/20 07:45:00 PM,98.411,27.468
125,06/05/20 08:00:00 PM,98.423,24.448
126,06/05/20 08:15:00 PM,98.440,21.664
127,06/05/20 08:30:00 PM,98.440,19.092
128,06/05/20 08:45:00 PM,98.452,17.950
129,06/05/20 09:00:00 PM,98.453,17.379
130,06/05/20 09:15:00 PM,98.452,16.618
131,06/05/20 09:30:00 PM,98.449,15.760
132,06/05/20 09:45:00 PM,98.456,15.569
133,06/05/20 10:00:00 PM,98.480,15.282
134,06/05/20 10:15:00 PM,98.484,14.900
135,06/05/20 10:30:00 PM,98.497,13.846
136,06/05/20 10:45:00 PM,98.507,13.269
137,06/05/20 11:00:00 PM,98.520,13.461
138,06/05/20 11:15:00 PM,98.518,13.365
139,06/05/20 11:30:00 PM,98.507,13.269
140,06/05/20 11:45:00 PM,98.500,12.787
141,06/06/20 12:00:00 AM,98.521,11.625
142,06/06/20 12:15:00 AM,98.514,11.139
143,06/06/20 12:30:00 AM,98.522,10.357
144,06/06/20 12:45:00 AM,98.521,9.669
145,06/06/20 01:00:00 AM,98.530,8.978
146,06/06/20 01:15:00 AM,98.530,8.282
147,06/06/20 01:30:00 AM,98.516,7.983
148,06/06/20 01:45:00 AM,98.536,6.775
149,06/06/20 02:00:00 AM,98.545,6.064
150,06/06/20 02:15:00 AM,98.555,5.450
151,06/06/20 02:30:00 AM,98.555,5.450
152,06/06/20 02:45:00 AM,98.550,5.141
153,06/06/20 03:00:00 AM,98.560,5.141
154,06/06/20 03:15:00 AM,98.574,4.831
155,06/06/20 03:30:00 AM,98.571,4.623
156,06/06/20 03:45:00 AM,98.559,4.415
157,06/06/20 04:00:00 AM,98.573,4.102
158,06/06/20 04:15:00 AM,98.570,3.261
159,06/06/20 04:30:00 AM,98.592,2.837
160,06/06/20 04:45:00 AM,98.580,2.624
161,06/06/20 05:00:00 AM,98.583,2.837
162,06/06/20 05:15:00 AM,98.572,2.730
163,06/06/20 05:30:00 AM,98.562,2.730
164,06/06/20 05:45:00 AM,98.559,3.788
165,06/06/20 06:00:00 AM,98.548,5.655
166,06/06/20 06:15:00 AM,98.540,7.079
167,06/06/20 06:30:00 AM,98.533,7.882
168,06/06/20 06:45:00 AM,98.537,7.481
169,06/06/20 07:00:00 AM,98.529,7.582
170,06/06/20 07:15:00 AM,98.511,8.978
171,06/06/20 07:30:00 AM,98.503,10.357
172,06/06/20 07:45:00 AM,98.499,10.748
173,06/06/20 08:00:00 AM,98.492,11.528
174,06/06/20 08:15:00 AM,98.469,12.594
175,06/06/20 08:30:00 AM,98.465,12.980
176,06/06/20 08:45:00 AM,98.452,14.038
177,06/06/20 09:00:00 AM,98.447,14.996
178,06/06/20 09:15:00 AM,98.434,16.046
179,06/06/20 09:30:00 AM,98.439,15.760
180,06/06/20 09:45:00 AM,98.434,16.046
181,06/06/20 10:00:00 AM,98.444,16.046
182,06/06/20 10:15:00 AM,98.422,17.189
183,06/06/20 10:30:00 AM,98.385,18.521
184,06/06/20 10:45:00 AM,98.377,19.282
185,06/06/20 11:00:00 AM,98.358,19.948
186,06/06/20 11:15:00 AM,98.334,20.901
187,06/06/20 11:30:00 AM,98.327,21.760
188,06/06/20 11:45:00 AM,98.333,21.473
189,06/06/20 12:00:00 PM,98.323,20.805
190,06/06/20 12:15:00 PM,98.327,18.426
191,06/06/20 12:30:00 PM,98.333,17.570
192,06/06/20 12:45:00 PM,98.334,17.665
193,06/06/20 01:00:00 PM,98.329,19.282
194,06/06/20 01:15:00 PM,98.331,19.377
195,06/06/20 01:30:00 PM,98.322,20.043
196,06/06/20 01:45:00 PM,98.308,21.760
197,06/06/20 02:00:00 PM,98.294,22.046
198,06/06/20 02:15:00 PM,98.268,22.908
199,06/06/20 02:30:00 PM,98.263,23.869
200,06/06/20 02:45:00 PM,98.282,22.525
201,06/06/20 03:00:00 PM,98.302,16.046
202,06/06/20 03:15:00 PM,98.309,14.613
203,06/06/20 03:30:00 PM,98.300,14.613
204,06/06/20 03:45:00 PM,98.293,14.804
205,06/06/20 04:00:00 PM,98.288,15.760
206,06/06/20 04:15:00 PM,98.280,16.523
207,06/06/20 04:30:00 PM,98.283,18.045
208,06/06/20 04:45:00 PM,98.255,19.377
209,06/06/20 05:00:00 PM,98.242,19.758
210,06/06/20 05:15:00 PM,98.232,20.424
211,06/06/20 05:30:00 PM,98.234,21.187
212,06/06/20 05:45:00 PM,98.220,23.484
213,06/06/20 06:00:00 PM,98.230,25.513
214,06/06/20 06:15:00 PM,98.267,23.484
215,06/06/20 06:30:00 PM,98.254,19.282
216,06/06/20 06:45:00 PM,98.256,17.475
217,06/06/20 07:00:00 PM,98.220,16.332
218,06/06/20 07:15:00 PM,98.212,16.427
219,06/06/20 07:30:00 PM,98.258,16.332
220,06/06/20 07:45:00 PM,98.247,16.237
221,06/06/20 08:00:00 PM,98.245,16.713
222,06/06/20 08:15:00 PM,98.252,18.521
223,06/06/20 08:30:00 PM,98.248,20.234
224,06/06/20 08:45:00 PM,98.244,18.616
225,06/06/20 09:00:00 PM,98.229,19.567
226,06/06/20 09:15:00 PM,98.242,19.758
227,06/06/20 09:30:00 PM,98.232,19.092
228,06/06/20 09:45:00 PM,98.221,18.996
229,06/06/20 10:00:00 PM,98.221,17.665
230,06/06/20 10:15:00 PM,98.236,17.379
231,06/06/20 10:30:00 PM,98.236,14.804
232,06/06/20 10:45:00 PM,98.245,12.110
233,06/06/20 11:00:00 PM,98.259,10.455
234,06/06/20 11:15:00 PM,98.270,9.275
235,06/06/20 11:30:00 PM,98.264,8.182
236,06/06/20 11:45:00 PM,98.275,7.682
237,06/07/20 12:00:00 AM,98.283,6.877
238,06/07/20 12:15:00 AM,98.289,6.674
239,06/07/20 12:30:00 AM,98.302,6.268
240,06/07/20 12:45:00 AM,98.328,5.450
241,06/07/20 01:00:00 AM,98.321,4.311
242,06/07/20 01:15:00 AM,98.334,3.893
243,06/07/20 01:30:00 AM,98.344,3.261
244,06/07/20 01:45:00 AM,98.338,2.837
245,06/07/20 02:00:00 AM,98.358,2.303
246,06/07/20 02:15:00 AM,98.362,1.872
247,06/07/20 02:30:00 AM,98.355,1.439
248,06/07/20 02:45:00 AM,98.373,1.330
249,06/07/20 03:00:00 AM,98.363,1.330
250,06/07/20 03:15:00 AM,98.379,1.112
251,06/07/20 03:30:00 AM,98.379,0.453
252,06/07/20 03:45:00 AM,98.374,0.121
253,06/07/20 04:00:00 AM,98.371,-0.102
254,06/07/20 04:15:00 AM,98.382,0.010
255,06/07/20 04:30:00 AM,98.373,0.010
256,06/07/20 04:45:00 AM,98.343,0.563
257,06/07/20 05:00:00 AM,98.340,1.656
258,06/07/20 05:15:00 AM,98.352,2.517
259,06/07/20 05:30:00 AM,98.346,2.730
260,06/07/20 05:45:00 AM,98.341,3.683
261,06/07/20 06:00:00 AM,98.345,4.623
262,06/07/20 06:15:00 AM,98.333,5.757
263,06/07/20 06:30:00 AM,98.328,6.775
264,06/07/20 06:45:00 AM,98.326,7.882
265,06/07/20 07:00:00 AM,98.318,8.680
266,06/07/20 07:15:00 AM,98.312,9.571
267,06/07/20 07:30:00 AM,98.301,10.748
268,06/07/20 07:45:00 AM,98.293,11.528
269,06/07/20 08:00:00 AM,98.292,12.110
270,06/07/20 08:15:00 AM,98.294,12.883
271,06/07/20 08:30:00 AM,98.267,13.654
272,06/07/20 08:45:00 AM,98.279,14.517
273,06/07/20 09:00:00 AM,98.263,15.378
274,06/07/20 09:15:00 AM,98.257,16.237
275,06/07/20 09:30:00 AM,98.241,17.094
276,06/07/20 09:45:00 AM,98.232,17.760
277,06/07/20 10:00:00 AM,98.214,18.521
278,06/07/20 10:15:00 AM,98.205,19.187
279,06/07/20 10:30:00 AM,98.185,19.758
280,06/07/20 10:45:00 AM,98.192,20.234
281,06/07/20 11:00:00 AM,98.171,20.805
282,06/07/20 11:15:00 AM,98.174,21.664
283,06/07/20 11:30:00 AM,98.151,22.046
284,06/07/20 11:45:00 AM,98.135,22.238
285,06/07/20 12:00:00 PM,98.133,22.717
286,06/07/20 12:15:00 PM,98.131,23.292
287,06/07/20 12:30:00 PM,98.107,23.581
288,06/07/20 12:45:00 PM,98.088,23.581
289,06/07/20 01:00:00 PM,98.082,22.525
290,06/07/20 01:15:00 PM,98.045,23.196
291,06/07/20 01:30:00 PM,98.058,23.484
292,06/07/20 01:45:00 PM,98.062,22.429
293,06/07/20 02:00:00 PM,98.052,21.760
294,06/07/20 02:15:00 PM,98.041,22.908
295,06/07/20 02:30:00 PM,98.069,22.238
296,06/07/20 02:45:00 PM,98.065,22.621
297,06/07/20 03:00:00 PM,98.065,23.292
298,06/07/20 03:15:00 PM,98.052,25.028
299,06/07/20 03:30:00 PM,98.013,25.610
300,06/07/20 03:45:00 PM,98.018,23.966
301,06/07/20 04:00:00 PM,98.013,24.931
302,06/07/20 04:15:00 PM,97.994,24.931
303,06/07/20 04:30:00 PM,97.996,24.448
304,06/07/20 04:45:00 PM,98.022,24.255
305,06/07/20 05:00:00 PM,97.992,24.158
306,06/07/20 05:15:00 PM,97.969,24.545
307,06/07/20 05:30:00 PM,97.985,25.610
308,06/07/20 05:45:00 PM,97.969,26.488
309,06/07/20 06:00:00 PM,97.980,27.272
310,06/07/20 06:15:00 PM,97.956,28.258
311,06/07/20 06:30:00 PM,97.963,28.060
312,06/07/20 06:45:00 PM,97.951,28.555
313,06/07/20 07:00:00 PM,97.950,32.394
314,06/07/20 07:15:00 PM,97.944,31.983
315,06/07/20 07:30:00 PM,97.924,30.659
316,06/07/20 07:45:00 PM,97.938,25.028
317,06/07/20 08:00:00 PM,97.928,23.004
318,06/07/20 08:15:00 PM,97.943,21.378
319,06/07/20 08:30:00 PM,97.936,20.234
320,06/07/20 08:45:00 PM,97.943,18.140
321,06/07/20 09:00:00 PM,97.962,16.808
322,06/07/20 09:15:00 PM,97.959,15.951
323,06/07/20 09:30:00 PM,97.981,15.473
324,06/07/20 09:45:00 PM,97.990,14.804
325,06/07/20 10:00:00 PM,97.990,15.473
326,06/07/20 10:15:00 PM,97.993,15.664
327,06/07/20 10:30:00 PM,98.031,14.325
328,06/07/20 10:45:00 PM,98.025,13.942
329,06/07/20 11:00:00 PM,98.034,13.269
330,06/07/20 11:15:00 PM,98.030,12.980
331,06/07/20 11:30:00 PM,98.037,12.787
332,06/07/20 11:45:00 PM,98.033,12.497
333,06/08/20 12:00:00 AM,98.029,12.207
334,06/08/20 12:15:00 AM,98.046,11.431
335,06/08/20 12:30:00 AM,98.042,11.139
336,06/08/20 12:45:00 AM,98.071,10.553
337,06/08/20 01:00:00 AM,98.077,9.669
338,06/08/20 01:15:00 AM,98.084,8.779
339,06/08/20 01:30:00 AM,98.100,7.983
340,06/08/20 01:45:00 AM,98.108,7.179
341,06/08/20 02:00:00 AM,98.114,6.268
342,06/08/20 02:15:00 AM,98.114,5.655
343,06/08/20 02:30:00 AM,98.114,5.655
344,06/08/20 02:45:00 AM,98.131,6.166
345,06/08/20 03:00:00 AM,98.130,6.064
346,06/08/20 03:15:00 AM,98.128,5.962
347,06/08/20 03:30:00 AM,98.138,5.962
348,06/08/20 03:45:00 AM,98.136,5.860
349,06/08/20 04:00:00 AM,98.121,5.450
350,06/08/20 04:15:00 AM,98.141,5.552
351,06/08/20 04:30:00 AM,98.156,5.962
352,06/08/20 04:45:00 AM,98.140,6.775
353,06/08/20 05:00:00 AM,98.154,7.782
354,06/08/20 05:15:00 AM,98.147,8.581
355,06/08/20 05:30:00 AM,98.138,9.275
356,06/08/20 05:45:00 AM,98.137,9.866
357,06/08/20 06:00:00 AM,98.133,10.259
358,06/08/20 06:15:00 AM,98.142,10.846
359,06/08/20 06:30:00 AM,98.133,10.944
360,06/08/20 06:45:00 AM,98.125,11.041
361,06/08/20 07:00:00 AM,98.139,11.334
362,06/08/20 07:15:00 AM,98.130,12.690
363,06/08/20 07:30:00 AM,98.129,13.269
364,06/08/20 07:45:00 AM,98.121,14.038
365,06/08/20 08:00:00 AM,98.120,14.613
366,06/08/20 08:15:00 AM,98.107,16.332
367,06/08/20 08:30:00 AM,98.088,16.999
368,06/08/20 08:45:00 AM,98.090,17.760
369,06/08/20 09:00:00 AM,98.083,17.950
370,06/08/20 09:15:00 AM,98.100,17.855
371,06/08/20 09:30:00 AM,98.084,18.045
372,06/08/20 09:45:00 AM,98.090,18.426
373,06/08/20 10:00:00 AM,98.083,17.950
374,06/08/20 10:15:00 AM,98.090,18.426
375,06/08/20 10:30:00 AM,98.056,19.377
376,06/08/20 10:45:00 AM,98.059,19.567
377,06/08/20 11:00:00 AM,98.040,20.234
378,06/08/20 11:15:00 AM,98.037,20.710
379,06/08/20 11:30:00 AM,98.017,21.282
380,06/08/20 11:45:00 AM,98.005,23.100
381,06/08/20 12:00:00 PM,97.991,23.388
382,06/08/20 12:15:00 PM,97.982,23.484
383,06/08/20 12:30:00 PM,97.950,22.525
384,06/08/20 12:45:00 PM,97.978,21.855
385,06/08/20 01:00:00 PM,97.989,21.282
386,06/08/20 01:15:00 PM,98.010,20.138
387,06/08/20 01:30:00 PM,98.017,19.948
388,06/08/20 01:45:00 PM,98.019,19.472
389,06/08/20 02:00:00 PM,98.019,18.806
390,06/08/20 02:15:00 PM,98.026,18.616
391,06/08/20 02:30:00 PM,98.018,18.711
392,06/08/20 02:45:00 PM,98.002,18.901
393,06/08/20 03:00:00 PM,97.990,20.043
394,06/08/20 03:15:00 PM,97.982,20.805
395,06/08/20 03:30:00 PM,97.970,23.292
396,06/08/20 03:45:00 PM,97.972,23.388
397,06/08/20 04:00:00 PM,97.949,23.773
398,06/08/20 04:15:00 PM,97.963,22.142
399,06/08/20 04:30:00 PM,97.949,21.187
400,06/08/20 04:45:00 PM,97.964,20.901
401,06/08/20 05:00:00 PM,97.948,20.424
402,06/08/20 05:15:00 PM,97.947,20.996
403,06/08/20 05:30:00 PM,97.928,23.004
404,06/08/20 05:45:00 PM,97.933,24.641
405,06/08/20 06:00:00 PM,97.922,24.545
406,06/08/20 06:15:00 PM,97.882,23.100
407,06/08/20 06:30:00 PM,97.886,22.046
408,06/08/20 06:45:00 PM,97.883,21.855
409,06/08/20 07:00:00 PM,97.888,21.569
410,06/08/20 07:15:00 PM,97.880,20.996
411,06/08/20 07:30:00 PM,97.867,20.710
412,06/08/20 07:45:00 PM,97.875,20.615
413,06/08/20 08:00:00 PM,97.877,20.138
414,06/08/20 08:15:00 PM,97.877,19.472
415,06/08/20 08:30:00 PM,97.873,19.187
416,06/08/20 08:45:00 PM,97.879,18.901
417,06/08/20 09:00:00 PM,97.885,18.711
418,06/08/20 09:15:00 PM,97.881,18.426
419,06/08/20 09:30:00 PM,97.876,18.045
420,06/08/20 09:45:00 PM,97.896,17.475
421,06/08/20 10:00:00 PM,97.899,16.999
422,06/08/20 10:15:00 PM,97.926,16.903
423,06/08/20 10:30:00 PM,97.922,16.618
424,06/08/20 10:45:00 PM,97.927,16.332
425,06/08/20 11:00:00 PM,97.930,15.855
426,06/08/20 11:15:00 PM,97.942,15.378
427,06/08/20 11:30:00 PM,97.950,14.613
428,06/08/20 11:45:00 PM,97.952,13.461
429,06/09/20 12:00:00 AM,97.963,12.207
430,06/09/20 12:15:00 AM,97.981,10.846
431,06/09/20 12:30:00 AM,97.984,9.768
432,06/09/20 12:45:00 AM,97.995,9.176
433,06/09/20 01:00:00 AM,98.004,9.176
434,06/09/20 01:15:00 AM,98.012,9.077
435,06/09/20 01:30:00 AM,98.001,8.978
436,06/09/20 01:45:00 AM,98.007,8.680
437,06/09/20 02:00:00 AM,98.021,8.382
438,06/09/20 02:15:00 AM,98.031,8.382
439,06/09/20 02:30:00 AM,98.044,7.983
440,06/09/20 02:45:00 AM,98.050,7.782
441,06/09/20 03:00:00 AM,98.074,7.481
442,06/09/20 03:15:00 AM,98.070,7.179
443,06/09/20 03:30:00 AM,98.062,7.280
444,06/09/20 03:45:00 AM,98.058,6.978
445,06/09/20 04:00:00 AM,98.069,6.471
446,06/09/20 04:15:00 AM,98.059,6.370
447,06/09/20 04:30:00 AM,98.078,7.079
448,06/09/20 04:45:00 AM,98.081,7.280
449,06/09/20 05:00:00 AM,98.081,7.280
450,06/09/20 05:15:00 AM,98.082,7.381
451,06/09/20 05:30:00 AM,98.076,7.582
452,06/09/20 05:45:00 AM,98.083,8.082
453,06/09/20 06:00:00 AM,98.075,8.182
454,06/09/20 06:15:00 AM,98.070,8.481
455,06/09/20 06:30:00 AM,98.092,8.680
456,06/09/20 06:45:00 AM,98.088,9.077
457,06/09/20 07:00:00 AM,98.081,9.275
458,06/09/20 07:15:00 AM,98.093,9.472
459,06/09/20 07:30:00 AM,98.106,9.669
460,06/09/20 07:45:00 AM,98.115,9.669
461,06/09/20 08:00:00 AM,98.117,9.768
462,06/09/20 08:15:00 AM,98.118,9.866
463,06/09/20 08:30:00 AM,98.132,10.161
464,06/09/20 08:45:00 AM,98.118,10.553
465,06/09/20 09:00:00 AM,98.124,10.944
466,06/09/20 09:15:00 AM,98.110,11.916
467,06/09/20 09:30:00 AM,98.113,12.787
468,06/09/20 09:45:00 AM,98.117,13.750
469,06/09/20 10:00:00 AM,98.092,14.613
470,06/09/20 10:15:00 AM,98.092,15.282
471,06/09/20 10:30:00 AM,98.089,15.760
472,06/09/20 10:45:00 AM,98.077,16.237
473,06/09/20 11:00:00 AM,98.072,17.189
474,06/09/20 11:15:00 AM,98.045,19.282
475,06/09/20 11:30:00 AM,98.032,19.662
476,06/09/20 11:45:00 AM,98.016,21.187
477,06/09/20 12:00:00 PM,98.014,21.760
478,06/09/20 12:15:00 PM,98.019,22.717
479,06/09/20 12:30:00 PM,97.994,23.004
480,06/09/20 12:45:00 PM,97.977,23.100
481,06/09/20 01:00:00 PM,97.956,21.664
482,06/09/20 01:15:00 PM,97.944,21.473
483,06/09/20 01:30:00 PM,97.923,22.621
484,06/09/20 01:45:00 PM,97.910,22.429
485,06/09/20 02:00:00 PM,97.908,22.238
486,06/09/20 02:15:00 PM,97.951,22.621
487,06/09/20 02:30:00 PM,98.068,16.237
488,06/09/20 02:45:00 PM,98.041,12.401
489,06/09/20 03:00:00 PM,98.012,11.722
490,06/09/20 03:15:00 PM,98.023,11.819
491,06/09/20 03:30:00 PM,97.954,12.304
492,06/09/20 03:45:00 PM,97.982,12.883
493,06/09/20 04:00:00 PM,97.985,13.750
494,06/09/20 04:15:00 PM,97.975,14.421
495,06/09/20 04:30:00 PM,97.969,15.282
496,06/09/20 04:45:00 PM,97.968,15.855
497,06/09/20 05:00:00 PM,97.961,16.713
498,06/09/20 05:15:00 PM,97.954,16.903
499,06/09/20 05:30:00 PM,97.965,16.999
500,06/09/20 05:45:00 PM,97.984,16.999
501,06/09/20 06:00:00 PM,97.993,16.999
502,06/09/20 06:15:00 PM,97.988,16.618
503,06/09/20 06:30:00 PM,97.964,16.237
504,06/09/20 06:45:00 PM,97.962,16.141
505,06/09/20 07:00:00 PM,97.978,16.618
506,06/09/20 07:15:00 PM,97.978,16.618
507,06/09/20 07:30:00 PM,97.939,17.189
508,06/09/20 07:45:00 PM,97.975,17.665
509,06/09/20 08:00:00 PM,97.966,17.760
510,06/09/20 08:15:00 PM,97.965,17.665
511,06/09/20 08:30:00 PM,97.939,17.855
512,06/09/20 08:45:00 PM,97.934,17.475
513,06/09/20 09:00:00 PM,97.934,16.808
514,06/09/20 09:15:00 PM,97.954,16.237
515,06/09/20 09:30:00 PM,97.955,15.664
516,06/09/20 09:45:00 PM,97.973,14.900
517,06/09/20 10:00:00 PM,97.997,13.942
518,06/09/20 10:15:00 PM,98.002,12.980
519,06/09/20 10:30:00 PM,98.022,12.401
520,06/09/20 10:45:00 PM,98.046,12.110
521,06/09/20 11:00:00 PM,98.066,11.528
522,06/09/20 11:15:00 PM,98.074,10.063
523,06/09/20 11:30:00 PM,98.108,9.176
524,06/09/20 11:45:00 PM,98.128,8.581
525,06/10/20 12:00:00 AM,98.143,7.682
526,06/10/20 12:15:00 AM,98.152,6.978
527,06/10/20 12:30:00 AM,98.174,7.179
528,06/10/20 12:45:00 AM,98.187,6.775
529,06/10/20 01:00:00 AM,98.193,5.860
530,06/10/20 01:15:00 AM,98.179,4.934
531,06/10/20 01:30:00 AM,98.206,4.831
532,06/10/20 01:45:00 AM,98.213,3.998
533,06/10/20 02:00:00 AM,98.238,3.788
534,06/10/20 02:15:00 AM,98.242,3.367
535,06/10/20 02:30:00 AM,98.264,2.943
536,06/10/20 02:45:00 AM,98.271,2.088
537,06/10/20 03:00:00 AM,98.271,2.088
538,06/10/20 03:15:00 AM,98.264,2.303
539,06/10/20 03:30:00 AM,98.272,2.195
540,06/10/20 03:45:00 AM,98.288,1.980
541,06/10/20 04:00:00 AM,98.280,1.439
542,06/10/20 04:15:00 AM,98.279,1.330
543,06/10/20 04:30:00 AM,98.272,1.548
544,06/10/20 04:45:00 AM,98.258,2.517
545,06/10/20 05:00:00 AM,98.275,3.049
546,06/10/20 05:15:00 AM,98.278,3.261
547,06/10/20 05:30:00 AM,98.290,4.102
548,06/10/20 05:45:00 AM,98.306,5.244
549,06/10/20 06:00:00 AM,98.314,5.757
550,06/10/20 06:15:00 AM,98.338,6.775
