"Plot Title: 20574425"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20574425, SEN S/N: 20574425)","Temp, °C (LGR S/N: 20574425, SEN S/N: 20574425)","Coupler Detached (LGR S/N: 20574425)","Coupler Attached (LGR S/N: 20574425)","Host Connected (LGR S/N: 20574425)","Stopped (LGR S/N: 20574425)","End Of File (LGR S/N: 20574425)"
191,06/09/19 03:00:00 PM,99.446,22.908,,,,,
192,06/09/19 03:15:00 PM,99.452,21.473,,,,,
193,06/09/19 03:30:00 PM,99.525,19.282,,,,,
194,06/09/19 03:45:00 PM,99.547,16.523,,,,,
195,06/09/19 04:00:00 PM,99.545,14.421,,,,,
196,06/09/19 04:15:00 PM,99.505,13.750,,,,,
197,06/09/19 04:30:00 PM,99.487,13.942,,,,,
198,06/09/19 04:45:00 PM,99.445,14.517,,,,,
199,06/09/19 05:00:00 PM,99.460,15.760,,,,,
200,06/09/19 05:15:00 PM,99.467,16.618,,,,,
201,06/09/19 05:30:00 PM,99.476,16.903,,,,,
202,06/09/19 05:45:00 PM,99.459,17.284,,,,,
203,06/09/19 06:00:00 PM,99.457,17.570,,,,,
204,06/09/19 06:15:00 PM,99.442,17.665,,,,,
205,06/09/19 06:30:00 PM,99.424,17.570,,,,,
206,06/09/19 06:45:00 PM,99.443,17.855,,,,,
207,06/09/19 07:00:00 PM,99.418,17.475,,,,,
208,06/09/19 07:15:00 PM,99.396,16.999,,,,,
209,06/09/19 07:30:00 PM,99.368,16.903,,,,,
210,06/09/19 07:45:00 PM,99.344,17.189,,,,,
211,06/09/19 08:00:00 PM,99.336,17.379,,,,,
212,06/09/19 08:15:00 PM,99.338,17.570,,,,,
213,06/09/19 08:30:00 PM,99.340,17.284,,,,,
214,06/09/19 08:45:00 PM,99.318,16.808,,,,,
215,06/09/19 09:00:00 PM,99.343,16.237,,,,,
216,06/09/19 09:15:00 PM,99.349,15.569,,,,,
217,06/09/19 09:30:00 PM,99.315,15.091,,,,,
218,06/09/19 09:45:00 PM,99.337,14.517,,,,,
219,06/09/19 10:00:00 PM,99.347,13.654,,,,,
220,06/09/19 10:15:00 PM,99.362,12.883,,,,,
221,06/09/19 10:30:00 PM,99.381,12.304,,,,,
222,06/09/19 10:45:00 PM,99.396,11.431,,,,,
223,06/09/19 11:00:00 PM,99.423,10.846,,,,,
224,06/09/19 11:15:00 PM,99.440,10.161,,,,,
225,06/09/19 11:30:00 PM,99.440,9.176,,,,,
226,06/09/19 11:45:00 PM,99.466,8.382,,,,,
227,06/10/19 12:00:00 AM,99.481,7.481,,,,,
228,06/10/19 12:15:00 AM,99.479,6.877,,,,,
229,06/10/19 12:30:00 AM,99.486,6.268,,,,,
230,06/10/19 12:45:00 AM,99.490,5.757,,,,,
231,06/10/19 01:00:00 AM,99.504,5.347,,,,,
232,06/10/19 01:15:00 AM,99.519,4.727,,,,,
233,06/10/19 01:30:00 AM,99.531,4.207,,,,,
234,06/10/19 01:45:00 AM,99.521,3.683,,,,,
235,06/10/19 02:00:00 AM,99.532,3.155,,,,,
236,06/10/19 02:15:00 AM,99.542,2.837,,,,,
237,06/10/19 02:30:00 AM,99.529,2.410,,,,,
238,06/10/19 02:45:00 AM,99.527,2.088,,,,,
239,06/10/19 03:00:00 AM,99.515,1.764,,,,,
240,06/10/19 03:15:00 AM,99.534,1.439,,,,,
241,06/10/19 03:30:00 AM,99.553,1.221,,,,,
242,06/10/19 03:45:00 AM,99.540,1.003,,,,,
243,06/10/19 04:00:00 AM,99.540,1.003,,,,,
244,06/10/19 04:15:00 AM,99.552,1.112,,,,,
245,06/10/19 04:30:00 AM,99.534,1.439,,,,,
246,06/10/19 04:45:00 AM,99.527,1.980,,,,,
247,06/10/19 05:00:00 AM,99.498,2.730,,,,,
248,06/10/19 05:15:00 AM,99.477,4.311,,,,,
249,06/10/19 05:30:00 AM,99.507,4.831,,,,,
250,06/10/19 05:45:00 AM,99.506,5.141,,,,,
251,06/10/19 06:00:00 AM,99.490,5.860,,,,,
252,06/10/19 06:15:00 AM,99.483,6.471,,,,,
253,06/10/19 06:30:00 AM,99.485,7.179,,,,,
254,06/10/19 06:45:00 AM,99.487,7.782,,,,,
255,06/10/19 07:00:00 AM,99.465,8.481,,,,,
256,06/10/19 07:15:00 AM,99.473,9.176,,,,,
257,06/10/19 07:30:00 AM,99.466,9.965,,,,,
258,06/10/19 07:45:00 AM,99.447,10.748,,,,,
259,06/10/19 08:00:00 AM,99.458,11.139,,,,,
260,06/10/19 08:15:00 AM,99.430,11.722,,,,,
261,06/10/19 08:30:00 AM,99.406,13.173,,,,,
262,06/10/19 08:45:00 AM,99.394,14.709,,,,,
263,06/10/19 09:00:00 AM,99.378,16.427,,,,,
264,06/10/19 09:15:00 AM,99.367,18.996,,,,,
265,06/10/19 09:30:00 AM,99.389,20.043,,,,,
266,06/10/19 09:45:00 AM,99.398,18.806,,,,,
267,06/10/19 10:00:00 AM,99.378,18.331,,,,,
268,06/10/19 10:15:00 AM,99.358,18.521,,,,,
269,06/10/19 10:30:00 AM,99.319,20.138,,,,,
270,06/10/19 10:45:00 AM,99.297,20.138,,,,,
271,06/10/19 11:00:00 AM,99.388,24.062,,,,,
272,06/10/19 11:15:00 AM,99.340,23.966,,,,,
273,06/10/19 11:30:00 AM,99.274,21.569,,,,,
274,06/10/19 11:45:00 AM,99.236,21.473,,,,,
275,06/10/19 12:00:00 PM,99.209,21.760,,,,,
276,06/10/19 12:15:00 PM,99.234,23.196,,,,,
277,06/10/19 12:30:00 PM,99.303,28.060,,,,,
278,06/10/19 12:45:00 PM,99.201,24.641,,,,,
279,06/10/19 01:00:00 PM,99.155,24.158,,,,,
280,06/10/19 01:15:00 PM,99.148,23.196,,,,,
281,06/10/19 01:30:00 PM,99.133,21.569,,,,,
282,06/10/19 01:45:00 PM,99.146,23.581,,,,,
283,06/10/19 02:00:00 PM,99.133,24.158,,,,,
284,06/10/19 02:15:00 PM,99.076,23.484,,,,,
285,06/10/19 02:30:00 PM,99.077,23.292,,,,,
286,06/10/19 02:45:00 PM,99.073,22.621,,,,,
287,06/10/19 03:00:00 PM,99.036,21.378,,,,,
288,06/10/19 03:15:00 PM,99.030,21.473,,,,,
289,06/10/19 03:30:00 PM,99.013,23.100,,,,,
290,06/10/19 03:45:00 PM,99.025,22.142,,,,,
291,06/10/19 04:00:00 PM,98.981,20.805,,,,,
292,06/10/19 04:15:00 PM,99.008,23.004,,,,,
293,06/10/19 04:30:00 PM,98.975,22.812,,,,,
294,06/10/19 04:45:00 PM,98.944,21.282,,,,,
295,06/10/19 05:00:00 PM,98.949,21.951,,,,,
296,06/10/19 05:15:00 PM,98.949,21.187,,,,,
297,06/10/19 05:30:00 PM,98.941,20.329,,,,,
298,06/10/19 05:45:00 PM,98.926,19.377,,,,,
299,06/10/19 06:00:00 PM,98.948,18.045,,,,,
300,06/10/19 06:15:00 PM,98.919,16.808,,,,,
301,06/10/19 06:30:00 PM,98.910,15.760,,,,,
302,06/10/19 06:45:00 PM,98.884,15.855,,,,,
303,06/10/19 07:00:00 PM,98.868,16.237,,,,,
304,06/10/19 07:15:00 PM,98.835,16.999,,,,,
305,06/10/19 07:30:00 PM,98.817,17.855,,,,,
306,06/10/19 07:45:00 PM,98.803,18.140,,,,,
307,06/10/19 08:00:00 PM,98.782,18.140,,,,,
308,06/10/19 08:15:00 PM,98.778,17.760,,,,,
309,06/10/19 08:30:00 PM,98.783,17.665,,,,,
310,06/10/19 08:45:00 PM,98.775,18.045,,,,,
311,06/10/19 09:00:00 PM,98.793,18.140,,,,,
312,06/10/19 09:15:00 PM,98.793,17.665,,,,,
313,06/10/19 09:30:00 PM,98.780,16.523,,,,,
314,06/10/19 09:45:00 PM,98.782,15.187,,,,,
315,06/10/19 10:00:00 PM,98.776,14.230,,,,,
316,06/10/19 10:15:00 PM,98.786,13.654,,,,,
317,06/10/19 10:30:00 PM,98.796,13.365,,,,,
318,06/10/19 10:45:00 PM,98.803,13.173,,,,,
319,06/10/19 11:00:00 PM,98.783,12.787,,,,,
320,06/10/19 11:15:00 PM,98.799,12.304,,,,,
321,06/10/19 11:30:00 PM,98.795,11.722,,,,,
322,06/10/19 11:45:00 PM,98.817,10.944,,,,,
323,06/11/19 12:00:00 AM,98.824,10.259,,,,,
324,06/11/19 12:15:00 AM,98.838,9.669,,,,,
325,06/11/19 12:30:00 AM,98.836,9.275,,,,,
326,06/11/19 12:45:00 AM,98.850,8.581,,,,,
327,06/11/19 01:00:00 AM,98.853,8.382,,,,,
328,06/11/19 01:15:00 AM,98.855,8.282,,,,,
329,06/11/19 01:30:00 AM,98.864,8.382,,,,,
330,06/11/19 01:45:00 AM,98.844,8.282,,,,,
331,06/11/19 02:00:00 AM,98.848,8.082,,,,,
332,06/11/19 02:15:00 AM,98.839,7.983,,,,,
333,06/11/19 02:30:00 AM,98.841,7.882,,,,,
334,06/11/19 02:45:00 AM,98.831,7.782,,,,,
335,06/11/19 03:00:00 AM,98.822,7.682,,,,,
336,06/11/19 03:15:00 AM,98.835,7.582,,,,,
337,06/11/19 03:30:00 AM,98.822,7.682,,,,,
338,06/11/19 03:45:00 AM,98.821,7.782,,,,,
339,06/11/19 04:00:00 AM,98.796,7.983,,,,,
340,06/11/19 04:15:00 AM,98.807,7.983,,,,,
341,06/11/19 04:30:00 AM,98.796,7.983,,,,,
342,06/11/19 04:45:00 AM,98.792,8.182,,,,,
343,06/11/19 05:00:00 AM,98.780,8.282,,,,,
344,06/11/19 05:15:00 AM,98.776,8.481,,,,,
345,06/11/19 05:30:00 AM,98.771,8.779,,,,,
346,06/11/19 05:45:00 AM,98.777,8.978,,,,,
347,06/11/19 06:00:00 AM,98.752,9.669,,,,,
348,06/11/19 06:15:00 AM,98.773,10.553,,,,,
349,06/11/19 06:30:00 AM,98.769,11.139,,,,,
350,06/11/19 06:45:00 AM,98.798,11.625,,,,,
351,06/11/19 07:00:00 AM,98.788,12.304,,,,,
352,06/11/19 07:15:00 AM,98.776,12.690,,,,,
353,06/11/19 07:30:00 AM,98.788,12.980,,,,,
354,06/11/19 07:45:00 AM,98.789,13.269,,,,,
355,06/11/19 08:00:00 AM,98.761,13.750,,,,,
356,06/11/19 08:15:00 AM,98.772,14.325,,,,,
357,06/11/19 08:30:00 AM,98.761,14.613,,,,,
358,06/11/19 08:45:00 AM,98.769,14.709,,,,,
359,06/11/19 09:00:00 AM,98.757,15.282,,,,,
360,06/11/19 09:15:00 AM,98.770,15.760,,,,,
361,06/11/19 09:30:00 AM,98.759,15.760,,,,,
362,06/11/19 09:45:00 AM,98.766,15.855,,,,,
363,06/11/19 10:00:00 AM,98.749,16.237,,,,,
364,06/11/19 10:15:00 AM,98.723,18.236,,,,,
365,06/11/19 10:30:00 AM,98.694,19.472,,,,,
366,06/11/19 10:45:00 AM,98.698,19.187,,,,,
367,06/11/19 11:00:00 AM,98.780,23.004,,,,,
368,06/11/19 11:15:00 AM,98.732,22.717,,,,,
369,06/11/19 11:30:00 AM,98.665,20.234,,,,,
370,06/11/19 11:45:00 AM,98.664,19.853,,,,,
371,06/11/19 12:00:00 PM,98.621,20.043,,,,,
372,06/11/19 12:15:00 PM,98.607,20.710,,,,,
373,06/11/19 12:30:00 PM,98.701,25.513,,,,,
374,06/11/19 12:45:00 PM,98.576,22.238,,,,,
375,06/11/19 01:00:00 PM,98.570,22.333,,,,,
376,06/11/19 01:15:00 PM,98.566,23.869,,,,,
377,06/11/19 01:30:00 PM,98.592,26.195,,,,,
378,06/11/19 01:45:00 PM,98.596,25.805,,,,,
379,06/11/19 02:00:00 PM,98.549,22.333,,,,,
380,06/11/19 02:15:00 PM,98.521,20.901,,,,,
381,06/11/19 02:30:00 PM,98.548,19.377,,,,,
382,06/11/19 02:45:00 PM,98.514,17.855,,,,,
383,06/11/19 03:00:00 PM,98.482,18.521,,,,,
384,06/11/19 03:15:00 PM,98.505,20.805,,,,,
385,06/11/19 03:30:00 PM,98.473,22.525,,,,,
386,06/11/19 03:45:00 PM,98.503,25.902,,,,,
387,06/11/19 04:00:00 PM,98.508,26.488,,,,,
388,06/11/19 04:15:00 PM,98.523,26.585,,,,,
389,06/11/19 04:30:00 PM,98.491,25.416,,,,,
390,06/11/19 04:45:00 PM,98.450,22.908,,,,,
391,06/11/19 05:00:00 PM,98.414,21.282,,,,,
392,06/11/19 05:15:00 PM,98.407,20.805,,,,,
393,06/11/19 05:30:00 PM,98.359,21.091,,,,,
394,06/11/19 05:45:00 PM,98.354,21.378,,,,,
395,06/11/19 06:00:00 PM,98.354,21.760,,,,,
396,06/11/19 06:15:00 PM,98.368,23.196,,,,,
397,06/11/19 06:30:00 PM,98.320,22.908,,,,,
398,06/11/19 06:45:00 PM,98.310,22.525,,,,,
399,06/11/19 07:00:00 PM,98.305,21.091,,,,,
400,06/11/19 07:15:00 PM,98.289,21.187,,,,,
401,06/11/19 07:30:00 PM,98.284,21.473,,,,,
402,06/11/19 07:45:00 PM,98.278,21.187,,,,,
403,06/11/19 08:00:00 PM,98.267,20.996,,,,,
404,06/11/19 08:15:00 PM,98.268,19.567,,,,,
405,06/11/19 08:30:00 PM,98.260,18.426,,,,,
406,06/11/19 08:45:00 PM,98.252,18.806,,,,,
407,06/11/19 09:00:00 PM,98.245,19.377,,,,,
408,06/11/19 09:15:00 PM,98.274,18.806,,,,,
409,06/11/19 09:30:00 PM,98.271,17.284,,,,,
410,06/11/19 09:45:00 PM,98.301,16.618,,,,,
411,06/11/19 10:00:00 PM,98.293,17.284,,,,,
412,06/11/19 10:15:00 PM,98.295,17.475,,,,,
413,06/11/19 10:30:00 PM,98.288,17.379,,,,,
414,06/11/19 10:45:00 PM,98.297,17.189,,,,,
415,06/11/19 11:00:00 PM,98.290,16.618,,,,,
416,06/11/19 11:15:00 PM,98.322,15.091,,,,,
417,06/11/19 11:30:00 PM,98.344,13.654,,,,,
418,06/11/19 11:45:00 PM,98.369,12.594,,,,,
419,06/12/19 12:00:00 AM,98.405,11.431,,,,,
420,06/12/19 12:15:00 AM,98.407,10.553,,,,,
421,06/12/19 12:30:00 AM,98.401,9.965,,,,,
422,06/12/19 12:45:00 AM,98.407,9.669,,,,,
423,06/12/19 01:00:00 AM,98.425,9.373,,,,,
424,06/12/19 01:15:00 AM,98.435,8.879,,,,,
425,06/12/19 01:30:00 AM,98.450,8.082,,,,,
426,06/12/19 01:45:00 AM,98.463,7.280,,,,,
427,06/12/19 02:00:00 AM,98.484,6.471,,,,,
428,06/12/19 02:15:00 AM,98.481,5.757,,,,,
429,06/12/19 02:30:00 AM,98.486,5.037,,,,,
430,06/12/19 02:45:00 AM,98.489,4.415,,,,,
431,06/12/19 03:00:00 AM,98.512,3.893,,,,,
432,06/12/19 03:15:00 AM,98.523,3.472,,,,,
433,06/12/19 03:30:00 AM,98.523,3.049,,,,,
434,06/12/19 03:45:00 AM,98.522,2.624,,,,,
435,06/12/19 04:00:00 AM,98.510,2.410,,,,,
436,06/12/19 04:15:00 AM,98.531,2.195,,,,,
437,06/12/19 04:30:00 AM,98.540,1.980,,,,,
438,06/12/19 04:45:00 AM,98.550,1.872,,,,,
439,06/12/19 05:00:00 AM,98.530,2.088,,,,,
440,06/12/19 05:15:00 AM,98.491,3.155,,,,,
441,06/12/19 05:30:00 AM,98.559,5.347,,,,,
442,06/12/19 05:45:00 AM,98.569,7.381,,,,,
443,06/12/19 06:00:00 AM,98.545,9.275,,,,,
444,06/12/19 06:15:00 AM,98.523,10.651,,,,,
445,06/12/19 06:30:00 AM,98.591,12.401,,,,,
446,06/12/19 06:45:00 AM,98.569,10.944,,,,,
447,06/12/19 07:00:00 AM,98.548,12.401,,,,,
448,06/12/19 07:15:00 AM,98.553,11.528,,,,,
449,06/12/19 07:30:00 AM,98.548,11.334,,,,,
450,06/12/19 07:45:00 AM,98.515,11.722,,,,,
451,06/12/19 08:00:00 AM,98.492,12.787,,,,,
452,06/12/19 08:15:00 AM,98.509,13.558,,,,,
453,06/12/19 08:30:00 AM,98.496,14.230,,,,,
